Pipeline,Action,File path
shell-pipeline,actions/checkout@v4.1.0,09-apr-2024/audit/shell-pipeline/.github/workflows/shell-pipeline.yml

Pipeline,Secret,File path


Pipeline,Runner,File path
